	features	QWK	MSE	MAE
39	('noun_phrases', 'syntax_errors')	0.1368540973148239	83.58086395263672	6.7410149574279785
40	('noun_phrases', 'readability_index')	0.11418040719964662	80.04741668701172	5.882126808166504
41	('noun_phrases', 'difficult_words')	0.14784447168120152	80.38695526123047	6.119926452636719
42	('syntax_errors', 'readability_index')	0.06919414798823398	82.73126220703125	6.292144775390625
43	('syntax_errors', 'difficult_words')	0.11002761013122986	81.36337280273438	6.140074253082275
44	('readability_index', 'difficult_words')	0.13224791174942396	80.767578125	6.4946770668029785
45	('essay_set', 'essay_length', 'avg_sentence_length')	0.9604598795472878	7.277510166168213	1.5873279571533203
46	('essay_set', 'essay_length', 'avg_word_length')	0.7800605425632231	27.604867935180664	3.161189556121826
47	('essay_set', 'essay_length', 'sentiment')	0.9659478446895455	5.6058220863342285	1.4422320127487183
48	('essay_set', 'essay_length', 'noun_phrases')	0.9594468502217708	7.438416957855225	1.6015510559082031
49	('essay_set', 'essay_length', 'syntax_errors')	0.9576544112219274	7.619203567504883	1.677856206893921
50	('essay_set', 'essay_length', 'readability_index')	0.9664380271908759	5.594235420227051	1.4591418504714966
51	('essay_set', 'essay_length', 'difficult_words')	0.792832441967174	25.41689682006836	2.8742122650146484
52	('essay_set', 'avg_sentence_length', 'avg_word_length')	0.94565670619743	7.033076286315918	1.621812343597412
53	('essay_set', 'avg_sentence_length', 'sentiment')	0.9375148917245656	8.043949127197266	1.779033899307251
54	('essay_set', 'avg_sentence_length', 'noun_phrases')	0.9564733553030049	6.029008388519287	1.490847110748291
55	('essay_set', 'avg_sentence_length', 'syntax_errors')	0.9631109307759217	5.5564284324646	1.4545791149139404
56	('essay_set', 'avg_sentence_length', 'readability_index')	0.9628765453051745	6.54902982711792	1.6357532739639282
57	('essay_set', 'avg_sentence_length', 'difficult_words')	0.9211995342170317	10.020356178283691	2.0141761302948
58	('essay_set', 'avg_word_length', 'sentiment')	0.9665164553376	5.41055154800415	1.4315873384475708
59	('essay_set', 'avg_word_length', 'noun_phrases')	0.9564125756985032	5.926723003387451	1.4691411256790161
60	('essay_set', 'avg_word_length', 'syntax_errors')	0.9624242803124032	6.576486110687256	1.782385230064392
61	('essay_set', 'avg_word_length', 'readability_index')	0.9655816193498746	5.479982376098633	1.441038966178894
62	('essay_set', 'avg_word_length', 'difficult_words')	0.9665554631355776	5.869268894195557	1.4895466566085815
63	('essay_set', 'sentiment', 'noun_phrases')	0.9555300540989797	6.086597919464111	1.5089200735092163
64	('essay_set', 'sentiment', 'syntax_errors')	0.9637080208543707	5.682905197143555	1.4800100326538086
65	('essay_set', 'sentiment', 'readability_index')	0.9642584826619838	6.79069709777832	1.8113726377487183
66	('essay_set', 'sentiment', 'difficult_words')	0.9655028606315731	6.373714447021484	1.6304514408111572
67	('essay_set', 'noun_phrases', 'syntax_errors')	0.9543150241630579	6.095556735992432	1.493045449256897
68	('essay_set', 'noun_phrases', 'readability_index')	0.9601771983378785	6.94998025894165	1.844226360321045
69	('essay_set', 'noun_phrases', 'difficult_words')	0.9552377438729065	6.479311466217041	1.7115299701690674
70	('essay_set', 'syntax_errors', 'readability_index')	0.9617012440770316	5.6489973068237305	1.4768712520599365
71	('essay_set', 'syntax_errors', 'difficult_words')	0.9571653947641371	6.160841464996338	1.6672707796096802
72	('essay_set', 'readability_index', 'difficult_words')	0.9555323120171707	6.32253360748291	1.6833075284957886
73	('essay_length', 'avg_sentence_length', 'avg_word_length')	0.1928781561346693	88.28726959228516	6.754971981048584
74	('essay_length', 'avg_sentence_length', 'sentiment')	0.17042968672450287	78.82186126708984	6.044496536254883
75	('essay_length', 'avg_sentence_length', 'noun_phrases')	0.1802854322855062	78.26805114746094	6.014786720275879
76	('essay_length', 'avg_sentence_length', 'syntax_errors')	0.17081015737593208	79.65312194824219	6.079655170440674
77	('essay_length', 'avg_sentence_length', 'readability_index')	0.2081284894126887	84.53298950195312	6.726031303405762
78	('essay_length', 'avg_sentence_length', 'difficult_words')	0.17400827471289293	82.26641082763672	6.107553958892822
79	('essay_length', 'avg_word_length', 'sentiment')	0.1695568671360903	78.98761749267578	6.107259273529053
80	('essay_length', 'avg_word_length', 'noun_phrases')	0.17485305261701634	78.34745788574219	6.050543308258057
81	('essay_length', 'avg_word_length', 'syntax_errors')	0.16710847337904688	79.89740753173828	6.155319690704346
82	('essay_length', 'avg_word_length', 'readability_index')	0.17178715376038878	78.92929077148438	6.067808628082275
83	('essay_length', 'avg_word_length', 'difficult_words')	0.1785648702676046	77.92947387695312	6.020501136779785
84	('essay_length', 'sentiment', 'noun_phrases')	0.1812831548456424	78.62029266357422	6.074798107147217
85	('essay_length', 'sentiment', 'syntax_errors')	0.17579652330254647	79.67631530761719	6.4472551345825195
86	('essay_length', 'sentiment', 'readability_index')	0.1754374527104846	78.50001525878906	6.061091423034668
87	('essay_length', 'sentiment', 'difficult_words')	0.1817477688024688	78.2608413696289	6.056699275970459
88	('essay_length', 'noun_phrases', 'syntax_errors')	0.16996237954465343	79.88108825683594	6.10482120513916
89	('essay_length', 'noun_phrases', 'readability_index')	0.17405917565621554	78.14622497558594	6.006875038146973
90	('essay_length', 'noun_phrases', 'difficult_words')	0.16676312930225445	76.96240234375	6.017059326171875
91	('essay_length', 'syntax_errors', 'readability_index')	0.17382091927362475	78.61803436279297	6.061647891998291
92	('essay_length', 'syntax_errors', 'difficult_words')	0.17855043825522365	78.19709014892578	6.009420394897461
93	('essay_length', 'readability_index', 'difficult_words')	0.1962266151644334	78.6822509765625	6.284520626068115
94	('avg_sentence_length', 'avg_word_length', 'sentiment')	0.02655257322947613	84.95719909667969	6.70482063293457
95	('avg_sentence_length', 'avg_word_length', 'noun_phrases')	0.13719482539673622	79.87120819091797	6.068554401397705
96	('avg_sentence_length', 'avg_word_length', 'syntax_errors')	0.08179106009125703	83.42666625976562	6.5821003913879395
97	('avg_sentence_length', 'avg_word_length', 'readability_index')	0.03439799954048406	84.03244018554688	6.233861446380615
98	('avg_sentence_length', 'avg_word_length', 'difficult_words')	0.11544783287522264	80.496826171875	5.922459602355957
99	('avg_sentence_length', 'sentiment', 'noun_phrases')	0.10322725516049114	79.86835479736328	6.167412281036377
100	('avg_sentence_length', 'sentiment', 'syntax_errors')	0.051764339519046465	83.27139282226562	6.389761924743652
101	('avg_sentence_length', 'sentiment', 'readability_index')	0.03160955407117838	84.13762664794922	6.218577861785889
102	('avg_sentence_length', 'sentiment', 'difficult_words')	0.07817527822336534	83.58873748779297	5.625970363616943
103	('avg_sentence_length', 'noun_phrases', 'syntax_errors')	0.13625348309299323	80.36143493652344	6.126523017883301
104	('avg_sentence_length', 'noun_phrases', 'readability_index')	0.10963562919508951	79.8896713256836	5.936069488525391
105	('avg_sentence_length', 'noun_phrases', 'difficult_words')	0.1544488606077341	79.70985412597656	6.113819599151611
106	('avg_sentence_length', 'syntax_errors', 'readability_index')	0.07343408529014595	82.49765014648438	6.29618501663208
107	('avg_sentence_length', 'syntax_errors', 'difficult_words')	0.11992738121390523	81.04180908203125	6.088791370391846
108	('avg_sentence_length', 'readability_index', 'difficult_words')	0.12900049525539914	80.6324234008789	6.490381717681885
109	('avg_word_length', 'sentiment', 'noun_phrases')	0.08504646304253194	82.70552062988281	5.634380340576172
110	('avg_word_length', 'sentiment', 'syntax_errors')	0.04664566026501571	83.2073745727539	6.3369269371032715
111	('avg_word_length', 'sentiment', 'readability_index')	0.021124686537298043	84.76954650878906	6.161625385284424
112	('avg_word_length', 'sentiment', 'difficult_words')	0.1020284022716823	82.09361267089844	6.50631046295166
113	('avg_word_length', 'noun_phrases', 'syntax_errors')	0.13593008622036007	83.36724090576172	6.747354030609131
114	('avg_word_length', 'noun_phrases', 'readability_index')	0.1188158915057177	79.22795104980469	6.045405864715576
115	('avg_word_length', 'noun_phrases', 'difficult_words')	0.1066676225322909	82.31367492675781	5.684804439544678
116	('avg_word_length', 'syntax_errors', 'readability_index')	0.08184253651480922	82.00823974609375	6.121226787567139
117	('avg_word_length', 'syntax_errors', 'difficult_words')	0.10918965653569657	81.35182189941406	6.101809024810791
118	('avg_word_length', 'readability_index', 'difficult_words')	0.13174595504872433	80.82438659667969	6.517894744873047
119	('sentiment', 'noun_phrases', 'syntax_errors')	0.09606672770957425	80.78443908691406	6.216607093811035
120	('sentiment', 'noun_phrases', 'readability_index')	0.1220706584272454	79.1962890625	6.100599765777588
121	('sentiment', 'noun_phrases', 'difficult_words')	0.14659993155438777	80.27842712402344	6.1123270988464355
122	('sentiment', 'syntax_errors', 'readability_index')	0.07329765396432442	82.5030517578125	6.294422149658203
123	('sentiment', 'syntax_errors', 'difficult_words')	0.10874431272237306	81.29459381103516	6.0911102294921875
124	('sentiment', 'readability_index', 'difficult_words')	0.14053560031217294	79.71240997314453	6.35899019241333
125	('noun_phrases', 'syntax_errors', 'readability_index')	0.11248916577930768	80.18537902832031	5.923516750335693
126	('noun_phrases', 'syntax_errors', 'difficult_words')	0.11065497358406551	83.20742797851562	5.6974663734436035
127	('noun_phrases', 'readability_index', 'difficult_words')	0.1319827867955946	81.15231323242188	5.6763691902160645
128	('syntax_errors', 'readability_index', 'difficult_words')	0.14475608772316073	81.515380859375	6.548754692077637
129	('essay_set', 'essay_length', 'avg_sentence_length', 'avg_word_length')	0.9554175169541236	7.785645008087158	1.7294431924819946
130	('essay_set', 'essay_length', 'avg_sentence_length', 'sentiment')	0.9546978128227063	7.921788692474365	1.7616136074066162
131	('essay_set', 'essay_length', 'avg_sentence_length', 'noun_phrases')	0.9591359493651903	7.5194478034973145	1.6149545907974243
132	('essay_set', 'essay_length', 'avg_sentence_length', 'syntax_errors')	0.9229012370298911	9.86858081817627	1.8880823850631714
133	('essay_set', 'essay_length', 'avg_sentence_length', 'readability_index')	0.9293416572891557	9.037481307983398	1.7529520988464355
134	('essay_set', 'essay_length', 'avg_sentence_length', 'difficult_words')	0.9522580018208463	8.360936164855957	1.8777692317962646
135	('essay_set', 'essay_length', 'avg_word_length', 'sentiment')	0.9668087691211642	5.5421037673950195	1.4401719570159912
136	('essay_set', 'essay_length', 'avg_word_length', 'noun_phrases')	0.9657023701394295	5.744007587432861	1.4777238368988037
137	('essay_set', 'essay_length', 'avg_word_length', 'syntax_errors')	0.9656760249891054	5.7271037101745605	1.476747751235962
138	('essay_set', 'essay_length', 'avg_word_length', 'readability_index')	0.965768893407144	5.629001617431641	1.4623488187789917
139	('essay_set', 'essay_length', 'avg_word_length', 'difficult_words')	0.9650223434471539	5.795539855957031	1.4889007806777954
140	('essay_set', 'essay_length', 'sentiment', 'noun_phrases')	0.9658099312573682	5.889499187469482	1.48439359664917
141	('essay_set', 'essay_length', 'sentiment', 'syntax_errors')	0.9650615574662265	5.851383209228516	1.4885605573654175
142	('essay_set', 'essay_length', 'sentiment', 'readability_index')	0.9664009297841057	5.6984429359436035	1.4494751691818237
143	('essay_set', 'essay_length', 'sentiment', 'difficult_words')	0.9579158256202155	6.413279056549072	1.6551377773284912
144	('essay_set', 'essay_length', 'noun_phrases', 'syntax_errors')	0.9571031546138993	7.780320167541504	1.6617351770401
145	('essay_set', 'essay_length', 'noun_phrases', 'readability_index')	0.9383025180445063	8.318197250366211	1.8948699235916138
146	('essay_set', 'essay_length', 'noun_phrases', 'difficult_words')	0.965984230790813	5.731989860534668	1.4913274049758911
147	('essay_set', 'essay_length', 'syntax_errors', 'readability_index')	0.9263374862020051	9.085396766662598	1.8343479633331299
148	('essay_set', 'essay_length', 'syntax_errors', 'difficult_words')	0.9383994335578507	8.145981788635254	1.9333925247192383
149	('essay_set', 'essay_length', 'readability_index', 'difficult_words')	0.9572743389502053	7.7479448318481445	1.667816400527954
150	('essay_set', 'avg_sentence_length', 'avg_word_length', 'sentiment')	0.9637244748003666	6.822019100189209	1.6473747491836548
151	('essay_set', 'avg_sentence_length', 'avg_word_length', 'noun_phrases')	0.9568977481174571	6.201135635375977	1.5809037685394287
152	('essay_set', 'avg_sentence_length', 'avg_word_length', 'syntax_errors')	0.9560630835048076	6.1744303703308105	1.57184636592865
153	('essay_set', 'avg_sentence_length', 'avg_word_length', 'readability_index')	0.9651111887713252	5.580282211303711	1.4276927709579468
154	('essay_set', 'avg_sentence_length', 'avg_word_length', 'difficult_words')	0.951160327129801	6.568091869354248	1.6318492889404297
155	('essay_set', 'avg_sentence_length', 'sentiment', 'noun_phrases')	0.9547891515244364	6.275620937347412	1.5487914085388184
156	('essay_set', 'avg_sentence_length', 'sentiment', 'syntax_errors')	0.9311837192848821	8.763650894165039	1.8980211019515991
157	('essay_set', 'avg_sentence_length', 'sentiment', 'readability_index')	0.9592828678137267	5.7843122482299805	1.4752362966537476
158	('essay_set', 'avg_sentence_length', 'sentiment', 'difficult_words')	0.9516860379265716	6.5071916580200195	1.6044682264328003
159	('essay_set', 'avg_sentence_length', 'noun_phrases', 'syntax_errors')	0.9632096710207563	5.904363632202148	1.4794312715530396
160	('essay_set', 'avg_sentence_length', 'noun_phrases', 'readability_index')	0.9554314385372272	6.074418544769287	1.4852889776229858
161	('essay_set', 'avg_sentence_length', 'noun_phrases', 'difficult_words')	0.9157550913882494	11.158177375793457	2.1351940631866455
162	('essay_set', 'avg_sentence_length', 'syntax_errors', 'readability_index')	0.9622581440142934	6.546558380126953	1.6171553134918213
163	('essay_set', 'avg_sentence_length', 'syntax_errors', 'difficult_words')	0.9631814756214453	5.903512001037598	1.491212010383606
164	('essay_set', 'avg_sentence_length', 'readability_index', 'difficult_words')	0.9549861504122504	6.191695690155029	1.6315521001815796
165	('essay_set', 'avg_word_length', 'sentiment', 'noun_phrases')	0.9554127491051835	6.025493144989014	1.478168249130249
166	('essay_set', 'avg_word_length', 'sentiment', 'syntax_errors')	0.9622387710757012	6.828602313995361	1.8377829790115356
167	('essay_set', 'avg_word_length', 'sentiment', 'readability_index')	0.9645772440746885	5.567142009735107	1.4569498300552368
168	('essay_set', 'avg_word_length', 'sentiment', 'difficult_words')	0.9636673907980959	6.839303493499756	1.739928126335144
169	('essay_set', 'avg_word_length', 'noun_phrases', 'syntax_errors')	0.961310793726545	5.677690029144287	1.4682070016860962
170	('essay_set', 'avg_word_length', 'noun_phrases', 'readability_index')	0.9586463074877046	5.839451789855957	1.531770944595337
171	('essay_set', 'avg_word_length', 'noun_phrases', 'difficult_words')	0.9604328552829341	5.794666290283203	1.5234193801879883
172	('essay_set', 'avg_word_length', 'syntax_errors', 'readability_index')	0.9654134902537528	5.421578884124756	1.431527853012085
173	('essay_set', 'avg_word_length', 'syntax_errors', 'difficult_words')	0.9598188065124952	5.797630786895752	1.5486043691635132
174	('essay_set', 'avg_word_length', 'readability_index', 'difficult_words')	0.963652024339962	5.458008289337158	1.4382206201553345
175	('essay_set', 'sentiment', 'noun_phrases', 'syntax_errors')	0.9532740115993281	6.278212070465088	1.5038450956344604
176	('essay_set', 'sentiment', 'noun_phrases', 'readability_index')	0.9653422183173145	5.427308082580566	1.4401183128356934
177	('essay_set', 'sentiment', 'noun_phrases', 'difficult_words')	0.9547265557238834	6.068605899810791	1.4896260499954224
178	('essay_set', 'sentiment', 'syntax_errors', 'readability_index')	0.958160834634243	5.940518379211426	1.5836313962936401
179	('essay_set', 'sentiment', 'syntax_errors', 'difficult_words')	0.9622635735912841	6.063379287719727	1.5154081583023071
180	('essay_set', 'sentiment', 'readability_index', 'difficult_words')	0.9533799640923635	6.517997741699219	1.713282585144043
181	('essay_set', 'noun_phrases', 'syntax_errors', 'readability_index')	0.9650918041735013	5.457732677459717	1.4353718757629395
182	('essay_set', 'noun_phrases', 'syntax_errors', 'difficult_words')	0.9591509712336981	6.025442600250244	1.5819965600967407
183	('essay_set', 'noun_phrases', 'readability_index', 'difficult_words')	0.9560062350068662	6.847405433654785	1.7817333936691284
184	('essay_set', 'syntax_errors', 'readability_index', 'difficult_words')	0.9561920083623828	6.314253330230713	1.7018842697143555
185	('essay_length', 'avg_sentence_length', 'avg_word_length', 'sentiment')	0.16903736617180787	79.0054931640625	6.049999237060547
186	('essay_length', 'avg_sentence_length', 'avg_word_length', 'noun_phrases')	0.10989450159257608	80.03691101074219	5.965331554412842
187	('essay_length', 'avg_sentence_length', 'avg_word_length', 'syntax_errors')	0.08515775435328021	81.94267272949219	5.948237895965576
188	('essay_length', 'avg_sentence_length', 'avg_word_length', 'readability_index')	0.10466135276896515	80.5402603149414	5.90544319152832
189	('essay_length', 'avg_sentence_length', 'avg_word_length', 'difficult_words')	0.18285478892546014	78.15904998779297	6.061185836791992
190	('essay_length', 'avg_sentence_length', 'sentiment', 'noun_phrases')	0.11579660954041282	79.48749542236328	6.031795978546143
191	('essay_length', 'avg_sentence_length', 'sentiment', 'syntax_errors')	0.0991523092380987	81.1402816772461	5.965408802032471
192	('essay_length', 'avg_sentence_length', 'sentiment', 'readability_index')	0.11297237602204213	79.75247955322266	5.955798149108887
193	('essay_length', 'avg_sentence_length', 'sentiment', 'difficult_words')	0.1190342920602494	79.59658813476562	5.947243690490723
194	('essay_length', 'avg_sentence_length', 'noun_phrases', 'syntax_errors')	0.17405887366869155	78.75377655029297	6.072242259979248
195	('essay_length', 'avg_sentence_length', 'noun_phrases', 'readability_index')	0.20183479642894064	78.22046661376953	6.289374351501465
196	('essay_length', 'avg_sentence_length', 'noun_phrases', 'difficult_words')	0.2196948897501272	77.96881103515625	6.175848484039307
197	('essay_length', 'avg_sentence_length', 'syntax_errors', 'readability_index')	0.17399243744200255	78.66452026367188	6.026851177215576
198	('essay_length', 'avg_sentence_length', 'syntax_errors', 'difficult_words')	0.10174215383646179	82.05982208251953	5.987954616546631
199	('essay_length', 'avg_sentence_length', 'readability_index', 'difficult_words')	0.18261625448425478	79.83500671386719	5.987562656402588
200	('essay_length', 'avg_word_length', 'sentiment', 'noun_phrases')	0.1721536720239134	78.91963958740234	6.1000285148620605
201	('essay_length', 'avg_word_length', 'sentiment', 'syntax_errors')	0.10089783799693697	81.10857391357422	5.9897661209106445
202	('essay_length', 'avg_word_length', 'sentiment', 'readability_index')	0.10497635939285466	79.97181701660156	5.979170322418213
203	('essay_length', 'avg_word_length', 'sentiment', 'difficult_words')	0.18475650809970312	78.64466094970703	6.102927207946777
204	('essay_length', 'avg_word_length', 'noun_phrases', 'syntax_errors')	0.1800673102224719	79.0062026977539	6.087093830108643
205	('essay_length', 'avg_word_length', 'noun_phrases', 'readability_index')	0.17543269119629168	78.05790710449219	6.029253005981445
206	('essay_length', 'avg_word_length', 'noun_phrases', 'difficult_words')	0.18583126529955418	77.94926452636719	6.036895275115967
207	('essay_length', 'avg_word_length', 'syntax_errors', 'readability_index')	0.1755124461183658	78.72974395751953	6.0709052085876465
208	('essay_length', 'avg_word_length', 'syntax_errors', 'difficult_words')	0.18074774894427104	78.20242309570312	6.043860912322998
209	('essay_length', 'avg_word_length', 'readability_index', 'difficult_words')	0.1932278260700645	77.69476318359375	6.029305458068848
210	('essay_length', 'sentiment', 'noun_phrases', 'syntax_errors')	0.18088973299262745	78.84127044677734	6.076545715332031
211	('essay_length', 'sentiment', 'noun_phrases', 'readability_index')	0.18500994123882541	77.73381805419922	6.002837181091309
212	('essay_length', 'sentiment', 'noun_phrases', 'difficult_words')	0.1888042935429387	77.46556091308594	6.038426399230957
213	('essay_length', 'sentiment', 'syntax_errors', 'readability_index')	0.18215471864962318	78.06278991699219	6.03817081451416
214	('essay_length', 'sentiment', 'syntax_errors', 'difficult_words')	0.1900255671811767	77.8949966430664	6.060935020446777
215	('essay_length', 'sentiment', 'readability_index', 'difficult_words')	0.18923274818698288	77.46963500976562	6.0153326988220215
216	('essay_length', 'noun_phrases', 'syntax_errors', 'readability_index')	0.1793333226182362	77.6015853881836	5.966775417327881
217	('essay_length', 'noun_phrases', 'syntax_errors', 'difficult_words')	0.19043347447419734	77.48115539550781	5.995520114898682
218	('essay_length', 'noun_phrases', 'readability_index', 'difficult_words')	0.19390587608040533	77.43576049804688	5.991454601287842
219	('essay_length', 'syntax_errors', 'readability_index', 'difficult_words')	0.20617712246566067	79.17781829833984	6.325216770172119
220	('avg_sentence_length', 'avg_word_length', 'sentiment', 'noun_phrases')	0.10312215023043314	79.78948974609375	6.160678386688232
221	('avg_sentence_length', 'avg_word_length', 'sentiment', 'syntax_errors')	0.07705398417419862	82.7660140991211	6.431709289550781
222	('avg_sentence_length', 'avg_word_length', 'sentiment', 'readability_index')	0.03373050079641615	84.06520080566406	6.21726655960083
223	('avg_sentence_length', 'avg_word_length', 'sentiment', 'difficult_words')	0.12372252997092015	80.36475372314453	5.986307621002197
224	('avg_sentence_length', 'avg_word_length', 'noun_phrases', 'syntax_errors')	0.1366006595026632	80.25370788574219	6.1056809425354
225	('avg_sentence_length', 'avg_word_length', 'noun_phrases', 'readability_index')	0.11946120460268095	79.19991302490234	6.126919746398926
226	('avg_sentence_length', 'avg_word_length', 'noun_phrases', 'difficult_words')	0.15620519055965576	79.4177017211914	6.081686496734619
227	('avg_sentence_length', 'avg_word_length', 'syntax_errors', 'readability_index')	0.09340431964893248	82.7013931274414	6.541327476501465
228	('avg_sentence_length', 'avg_word_length', 'syntax_errors', 'difficult_words')	0.1343905714774556	81.66560363769531	6.455819129943848
229	('avg_sentence_length', 'avg_word_length', 'readability_index', 'difficult_words')	0.12798062506313246	80.56991577148438	6.467733860015869
230	('avg_sentence_length', 'sentiment', 'noun_phrases', 'syntax_errors')	0.13313132933376381	80.2715072631836	6.1120147705078125
231	('avg_sentence_length', 'sentiment', 'noun_phrases', 'readability_index')	0.1255937898456002	79.0793228149414	6.130553722381592
232	('avg_sentence_length', 'sentiment', 'noun_phrases', 'difficult_words')	0.15685408341814888	79.45704650878906	6.099131107330322
233	('avg_sentence_length', 'sentiment', 'syntax_errors', 'readability_index')	0.09181028885191678	82.7305679321289	6.5486321449279785
234	('avg_sentence_length', 'sentiment', 'syntax_errors', 'difficult_words')	0.12357318071222612	80.90727996826172	6.130549907684326
235	('avg_sentence_length', 'sentiment', 'readability_index', 'difficult_words')	0.13201946888463068	80.46764373779297	6.4702067375183105
236	('avg_sentence_length', 'noun_phrases', 'syntax_errors', 'readability_index')	0.10630066066281407	80.27788543701172	6.011322498321533
237	('avg_sentence_length', 'noun_phrases', 'syntax_errors', 'difficult_words')	0.16473076934265551	79.87247467041016	6.1689019203186035
238	('avg_sentence_length', 'noun_phrases', 'readability_index', 'difficult_words')	0.1626234339385897	79.75215148925781	6.4428229331970215
239	('avg_sentence_length', 'syntax_errors', 'readability_index', 'difficult_words')	0.1418966650268898	81.80050659179688	6.607794284820557
240	('avg_word_length', 'sentiment', 'noun_phrases', 'syntax_errors')	0.12100095455650572	80.4324722290039	6.172417640686035
241	('avg_word_length', 'sentiment', 'noun_phrases', 'readability_index')	0.12163512811094301	79.05278778076172	6.086284160614014
242	('avg_word_length', 'sentiment', 'noun_phrases', 'difficult_words')	0.1064488283924987	82.21064758300781	5.638600826263428
243	('avg_word_length', 'sentiment', 'syntax_errors', 'readability_index')	0.07036372472153474	82.421630859375	6.3292951583862305
244	('avg_word_length', 'sentiment', 'syntax_errors', 'difficult_words')	0.07830471212563495	83.77813720703125	5.646294593811035
245	('avg_word_length', 'sentiment', 'readability_index', 'difficult_words')	0.11389271384293109	79.44051361083984	6.120145797729492
246	('avg_word_length', 'noun_phrases', 'syntax_errors', 'readability_index')	0.14912389625896005	80.2527847290039	6.459673881530762
247	('avg_word_length', 'noun_phrases', 'syntax_errors', 'difficult_words')	0.10786967609479226	83.4550552368164	5.681543350219727
248	('avg_word_length', 'noun_phrases', 'readability_index', 'difficult_words')	0.12398028383287096	79.1109848022461	6.010443687438965
249	('avg_word_length', 'syntax_errors', 'readability_index', 'difficult_words')	0.1418713916042461	81.77034759521484	6.58158016204834
250	('sentiment', 'noun_phrases', 'syntax_errors', 'readability_index')	0.11887096569962508	79.9825439453125	6.199443340301514
251	('sentiment', 'noun_phrases', 'syntax_errors', 'difficult_words')	0.12912149148309182	79.60578918457031	6.084456920623779
252	('sentiment', 'noun_phrases', 'readability_index', 'difficult_words')	0.1648552725617961	79.39171600341797	6.425338268280029
253	('sentiment', 'syntax_errors', 'readability_index', 'difficult_words')	0.14579534067478617	81.42730712890625	6.563736915588379
254	('noun_phrases', 'syntax_errors', 'readability_index', 'difficult_words')	0.1695831519774481	80.54371643066406	6.485732555389404
255	('essay_set', 'essay_length', 'avg_sentence_length', 'avg_word_length', 'sentiment')	0.9161051959200955	10.635374069213867	1.9344452619552612
